"","ccle_id","ADAR_RPPA","AKT1S1_RPPA","ANXA1_RPPA","ANXA7_RPPA","ASNS_RPPA","ATM_RPPA","BAD_RPPA","BAP1_RPPA","BAX_RPPA","BCL2_RPPA","BCL2L1_RPPA","BCL2L11_RPPA","BRAF_RPPA","C12orf5_RPPA","CAV1_RPPA","CCNB1_RPPA","CCND1_RPPA","CCNE1_RPPA","CDH1_RPPA","CDH2_RPPA","ADAR_dependency","AKT1S1_dependency","ANXA1_dependency","ANXA7_dependency","ASNS_dependency","ATM_dependency","BAD_dependency","BAP1_dependency","BAX_dependency","BCL2_dependency","BCL2L1_dependency","BCL2L11_dependency","BRAF_dependency","C12orf5_dependency","CAV1_dependency","CCNB1_dependency","CCND1_dependency","CCNE1_dependency","CDH1_dependency","CDH2_dependency"
"385","SNU719_STOMACH",0.328281275870171,0.147527043157853,0.469148653961657,0.34124216435522,0.234457452646013,0.605168760578028,0.146362833157663,0.613453048715027,0.490726771632057,0.227153932403905,0.410581631739781,0.327562787312532,0.418588411695405,0.41095564003477,0.224665609736162,0.488771048495394,0.314353565875831,0.181433635256603,0.703469010169536,0.101508246103246,0.417140036733629,0.00521372318761421,0.00654120738374354,0.235630138590971,0.166147986573219,0.00141758046924976,0.0522447389832317,0.663449675593347,0.00828480150427852,0.00993323946247881,0.989715809140076,0.042773771556232,0.198820943649361,0.025388124370857,0.00951895624372233,0.663301407590406,0.995137375882763,0.15882544702358,0.0702857190756837,0.0352724483454522
"386","SNU761_LIVER",0.511736736840557,0.18141362509487,0.368425257307292,0.399167047706816,0.270721979381261,0.611084884821378,0.221770431486172,0.715230196526576,0.353094550713564,0.352947590122971,0.517045556251678,0.632696350906484,0.255030666523866,0.134405163032774,0.477663100702228,0.606381731896004,0.466367885223603,0.285446891090942,0.546319189000385,0.497681150257144,0.112306351586514,0.0424944169986766,0.0170352180074393,0.0812669511407429,0.254459370086891,0.101518245519793,0.0758709097772979,0.0739714369392577,0.00123562283585505,0.0204170510428091,0.973320894226601,0.00066083603052801,0.045326693192183,0.0105942178631409,0.0151234558320884,0.39059486629158,0.954438827070295,0.00363547487552958,0.0545490336614325,0.0356594136815152
"387","SNU840_OVARY",0.560352198278609,0.444415734999185,0.44741196403005,0.202246677580482,0.49864049154937,0.399982170512319,0.310610896266403,0.531974873284691,0.222564684694518,0.124057783897705,0.151581938601987,0.431070824496783,0.275540609046446,0.195137399822573,0.500751213719474,0.660135452013663,0.295252183017432,0.31288618736142,0.533519593310096,0.190599526808795,0.0651949513880736,0.00079685313074564,0.00295365571445465,0.027215268902114,0.032598025321583,0.00054934635963018,0.196497719005741,0.495694974153074,0.00192241956580561,0.0101975216650542,0.0154537366917657,0.0539758222028218,0.0278396825001648,0.00663933608718151,0.0271601375649546,0.899587714573356,0.971918712208168,0.0176122361345731,0.397838313122264,0.0239256176093
"388","SNU886_LIVER",0.349009847778263,0.340742169548787,0.478585200882578,0.291035960461446,0.638442781816832,0.634874082864453,0.320174453084423,0.627785597860295,0.391098862116954,0.246115321393254,0.241146066410096,0.496405104775151,0.370187997572382,0.141498388243883,0.509016411531195,0.632938580902897,0.367915129029323,0.209478574250242,0.307045842544577,0.435349054415737,0.308709981356546,0.00290057497308303,0.00508734168212652,0.11435668761775,0.0235104063780724,0.0622974661266461,0.0939252254260588,0.752406377025277,0.00023906396143316,0.00712800545111083,0.970080645654653,0.092589474189553,0.0664848313499977,0.009032614137729,0.00098573333941401,0.895809464372018,0.951473995231376,0.00839853491882007,0.0104589701133755,0.0954536134495892
"389","SNU8_OVARY",0.505790203966794,0.273254740627156,0.474591725352481,0.321224658618981,0.411653932896814,0.635465721624812,0.282739027089377,0.478640275659271,0.179695145578083,0.186274155748626,0.255009525514314,0.513909604289126,0.426638963264432,0.164773214713367,0.395827545993194,0.74496062660882,0.260060421553187,0.409609910682877,0.56496856677781,0.330015027060289,0.451047680275133,0.0154217102541485,0.00403915687109409,0.0522667558991655,0.304875863914589,0.0113981702151082,0.115604087352528,0.728398792103585,0.00168062178683438,0.0248334811043415,0.943026286618268,0.0125099574795259,0.210287382090719,0.00553600812769915,0.0182189402848436,0.710363201777263,0.45410953839871,0.914036752558464,0.45280906517107,0.122889844539778
"390","SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.563668860300038,0.184902182561603,0.350282115514429,0.408438189391547,0.887123539480631,0.553856706488051,0.359422713526376,0.732948269200483,0.568248424154774,0.161801376016085,0.4040189359553,0.270421458581595,0.743591874620685,0.281758748661502,0.0913044561279917,0.618643426668303,0.327556339462477,0.242279857787803,0.169968399168063,0.231318133915177,0.0965302525285806,0.0037902409143847,0.00723896519801019,0.0021863531042069,0.126168949761828,0.0697830490985598,0.120482021295444,0.0468842343426175,0.0553356433302904,0.0401309737925866,0.532084872410893,0.0118587357913512,0.132707712107935,0.0298621599389213,0.0127716867445913,0.801430697653384,0.679218099603712,0.0062871613759477,0.0286531253137225,0.0960990502657308
"391","SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.382816115341693,0.314991836401265,0.158706103620011,0.185280441128044,0.604083101518029,0.735588039284392,0.141774704408003,0.633163198855162,0.448636559609245,0.637377755760169,0.271756210763192,0.686646596875222,0.553395451786798,0.148437675581611,0.223631536560946,0.571774834787911,0.292249678201872,0.269349545027981,0.263011059954612,0.178508392899565,0.0106309773727278,0.00312747984987921,0.00445798570857043,0.0744079904356646,0.0929005761647159,0.0121146967432645,0.130263834026938,0.921640018139192,0.00926151337821247,0.532567402782727,0.921539994744435,0.0739004465821597,0.0355738458033626,0.0808341645235106,0.044685010472141,0.410573449975729,0.516751215428507,0.01813102064228,0.0743450815038088,0.00861816652248844
"392","SUIT2_PANCREAS",0.295243263996717,0.110377180933202,0.375845094253528,0.26346722656721,0.492203858108987,0.830933002342194,0.269778707904221,0.617845373808119,0.328321335989303,0.147239976175365,0.503343519453785,0.355663263905557,0.489265788440256,0.221022161978892,0.471605750462174,0.745874004109506,0.259095263263765,0.266902118497262,0.358316519630063,0.146397558861724,0.16202082317417,0.0247803870778105,0.00606216891300586,0.0381789280856982,0.124830811457429,0.153323101205232,0.0206629104339666,0.689025273578573,5.1645875564008e-05,0.00149399854757434,0.969794417915789,0.0339618965957715,0.329447461031339,0.00125452236755975,0.0160581151234506,0.543105211589447,0.979565996306647,0.0842581568412294,0.0459308066405305,0.0148464693443168
"393","SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.416155847662855,0.298733733530205,0.205030838541275,0.293936877345755,0.471675121513801,0.648221311083607,0.30521922667482,0.812125378538315,0.0771769585504953,0.386300523889691,0.24601942182046,0.52309009093347,0.675657705901253,0.147445658359902,0.0759698082456302,0.688993922300243,0.110340950192984,0.21948628898493,0.120415822952411,0.133972455501779,0.0195151913217322,0.0128634157056171,0.00189408420994633,0.0549657508896643,0.25025607717598,0.0220915534579189,0.0896578874308984,0.0857195097789549,0.00494183210219903,0.7056354725824,0.989914965863063,0.00283343823867893,0.0268001563356884,0.0241242460407034,0.00786437572273577,0.350138652901188,0.690745784580843,0.0765909035082162,0.119438235045473,0.0553550627227262
"394","SW1463_LARGE_INTESTINE",0.372855569061736,0.132775706339321,0.281787744697821,0.39979616931567,0.43236364234621,0.546288655191798,0.260906606663337,0.598742029374083,0.389526891696455,0.172922476455721,0.710167687409699,0.424437235211433,0.36175788083253,0.87839657151115,0.161059975202323,0.780141587362152,0.541235648149751,0.340541974342151,0.787725554589687,0.309310799107203,0.599850937382784,0.0113734518026259,0.0020128633226023,0.187053613431153,0.178934555173569,0.00283408688161643,0.293984851200241,0.144304664709707,0.00051470085054385,0.0655590965801961,0.99891003027444,0.0344059160047599,0.0133846646463147,0.028358954168149,0.00732169200743878,0.973211406300627,0.678556518700965,0.00065796636480782,0.311499932048065,0.0315310423031046
